name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"washington, dc",2023-04-19,74.7,45,60,74.7,42.9,59.7,36.1,43.6,0,0,0,,0,0,19.5,11.3,221.9,1018.5,27.8,9.9,223.6,19.4,9,10,2023-04-19T06:26:14,2023-04-19T19:49:00,0.98,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-20,85.6,54.3,68.7,82.8,54.3,68.4,52.8,60.3,0,0,0,,0,0,9.2,10,111.3,1019.6,52.5,9.8,218.6,19,9,10,2023-04-20T06:24:51,2023-04-20T19:49:58,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-21,87.9,57.4,71.5,84.8,57.4,71.1,55.2,60.6,0,0,0,,0,0,23,13.8,154.4,1014.8,34.4,9.5,216.5,18.7,8,10,2023-04-21T06:23:28,2023-04-21T19:50:56,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-22,73,58.7,66,73,58.7,66,54.6,68.5,0.408,100,25,rain,0,0,41.7,21.3,183.4,1010,77.4,9.5,62.4,5.6,3,10,2023-04-22T06:22:07,2023-04-22T19:51:54,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-23,64,49.8,57.6,64,44.1,57.3,41.5,57.2,0,0,0,,0,0,27.6,17.6,321.8,1014,59.1,9.9,118.6,10.4,7,10,2023-04-23T06:20:46,2023-04-23T19:52:53,0.11,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-24,60.8,46.5,52.9,60.8,41.9,51.4,29.6,41.5,0,0,0,,0,0,26.4,16.1,330.6,1019.5,59.9,9.9,203.9,17.7,8,10,2023-04-24T06:19:26,2023-04-24T19:53:51,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-25,60.9,43.6,53.1,60.9,38.2,51.8,31.9,45.3,0,0,0,,0,0,20.8,10.7,347.7,1022.6,73.9,9.9,183.6,15.9,9,10,2023-04-25T06:18:07,2023-04-25T19:54:49,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-26,66.7,46.9,56.3,66.7,46.9,56.2,43.6,63.6,0.011,100,4.17,rain,0,0,23,13.4,161.7,1021.7,69,9.8,164.6,14.3,9,10,2023-04-26T06:16:49,2023-04-26T19:55:47,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-27,71.6,51.7,60.7,71.6,51.7,60.7,49.9,68.6,0,0,0,,0,0,12.8,15.5,99.9,1019.7,82.8,9.9,150.9,13,8,10,2023-04-27T06:15:32,2023-04-27T19:56:45,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
"washington, dc",2023-04-28,58.8,53.9,56.2,58.8,53.9,56.2,53.6,91,1.19,100,79.17,rain,0,0,40.3,22.1,57.4,1013.4,98.6,5.6,26.3,2.1,1,10,2023-04-28T06:14:16,2023-04-28T19:57:43,0.27,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KDCA,72405013743,72403793728,D6279,KADW,KDAA,74594013705"
